training_size,test_ptr,mean,median,hit_rate,n
300,0,259.19785989299464,230,0.0,19999
300,1,269.8796,238.0,0.0,20000
300,2,248.77141571235686,236,0.0,19997
300,3,256.214932239836,240,0.0,19997
300,4,266.49052263065767,252,0.0,19995
300,5,286.1085108510851,252.0,0.0,19998
300,6,258.56322816140806,246,0.0,19999
300,7,259.6226433965095,240,0.0,19997
300,8,255.74196129419414,240,0.0,19997
300,9,253.11202240448088,240.0,0.0,9998
300,10,249.68475271290694,244,0.0,19997
300,11,273.990399039904,252.0,0.0,19998
300,12,254.8094404720236,242,0.0,19999
300,13,259.7792889644482,238,0.0,19999
300,14,261.67498374918745,252,0.0,19999
300,15,240.3998,236.0,0.0,10000
300,16,272.0384076815363,250.0,0.0,19996
300,17,261.3095654782739,248,0.0,19999
300,18,248.075511326699,236,0.0,19997
300,19,255.8321412494373,234,0.0,19993
300,20,258.66206620662064,240.0,0.0,19998
300,21,306.5365804870731,240,0.0,19997
300,22,262.1857185718572,242.0,0.0,19998
300,23,264.7927396369818,232,0.0,19999
300,24,307.7234585187778,254,0.0,19997
300,25,243.98339667933587,238.0,0.0,19996
300,26,262.5464273213661,246,0.0,19999
300,27,272.7122068310247,252,0.0,19997
300,28,319.003300660132,234.0,0.0,19996
300,29,246.8672,238.0,5e-05,20000
300,30,248.97554877743886,246,0.0,19999
300,31,252.9034451722586,238,0.0,19999
300,32,268.9132369855478,238,0.0,19997
302,0,274.0224033605041,238,0.0,19997
302,1,249.03410341034103,250.0,0.0,19998
302,2,249.7180718071807,244.0,0.0,19998
302,3,251.23182318231824,240.0,0.0,19998
302,4,256.4793239661983,244,0.0,19999
302,5,263.6967696769677,250.0,0.0,19998
302,6,279.3569035355303,244,0.0,19997
302,7,276.1278063903195,244,0.0,19999
302,8,267.52782917437617,246,0.0,19997
302,9,280.7872393619681,252,0.0,19999
302,10,254.9101,244.0,0.0,20000
302,11,270.4537226861343,240,0.0,19999
302,12,268.2728545709142,240.0,0.0,19996
302,13,283.42977148857443,254,0.0,19999
302,14,312.3841768353671,254.0,0.0,19996
302,15,242.04750475047504,236.0,0.0,19998
302,16,247.63726372637262,236.0,0.0,19998
302,17,258.3876,248.0,0.0,20000
302,18,254.33241662083105,246,0.0,19999
302,19,244.6904,242.0,0.0,20000
302,20,279.3512,248.0,5e-05,20000
302,21,251.3068306830683,246.0,0.0,19998
302,22,258.10071510726607,250,0.0,19997
302,23,244.857,238.0,0.0,20000
302,24,249.01115055752788,244,0.0,19999
302,25,267.66534980247036,232,0.0,19997
302,26,250.79751962794418,236,0.0,19997
302,27,258.7764388219411,240,0.0,19999
302,28,241.06110611061106,236.0,0.0,19998
302,29,267.4140707035352,246,0.0,19999
302,30,257.25385077015403,244.0,0.0,19996
302,31,263.05370537053705,238.0,0.0,19998
302,32,239.6109416412462,238,0.0,19997
304,0,283.5309061812363,252.0,0.0,19996
304,1,248.82854142707134,234,0.0,19999
304,2,268.592088813322,240,0.0,19997
304,3,318.33293329332935,250.0,0.0,19998
304,4,268.34691734586727,254,0.0,19999
304,5,251.42317115855792,252,0.0,19999
304,6,245.71098554927747,236,0.0,19999
304,7,245.1038103810381,238.0,0.0,19998
304,8,261.16627494124117,244,0.0,19997
304,9,262.3193,246.0,0.0,20000
304,10,242.2419120956048,234,0.0,19999
304,11,250.03700370037004,238.0,0.0,19998
304,12,273.62048102405123,252,0.0,19999
304,13,245.1494,244.0,0.0,20000
304,14,241.479821973296,230,0.0,19997
304,15,271.5502,240.0,0.0,20000
304,16,260.6579657965797,236.0,5.000500050005001e-05,19998
304,17,250.92709270927094,242.0,0.0,19998
304,18,272.7389,244.0,0.0,20000
304,19,266.27192719271926,236.0,0.0,19998
304,20,280.4744948989798,238.0,0.0,19996
304,21,262.3663,250.0,0.0,20000
304,22,250.1431,252.0,0.0,20000
304,23,254.5003500350035,238.0,0.0,19998
304,24,265.9097909790979,246.0,0.0,19998
304,25,241.8097619523905,238.0,0.0,19996
304,26,245.97009850492523,244,5.000250012500625e-05,19999
304,27,273.7222861143057,240,0.0,19999
304,28,257.4905745287264,252,0.0,19999
304,29,247.3394,244.0,0.0,20000
304,30,243.02255112755637,234,0.0,19999
304,31,264.0532,244.0,0.0,20000
304,32,269.93138970845627,238,0.0,19997
306,0,288.6314262852571,236.0,0.0,19996
306,1,281.54590918183635,234.0,0.0,19996
306,2,256.9730486524326,244,0.0,19999
306,3,257.9978,240.0,0.0,20000
306,4,250.6946,250.0,0.0,20000
306,5,278.0774038701935,248,0.0,19999
306,6,245.93318997849678,242,0.0,19997
306,7,260.09481896379276,236.0,0.0,19996
306,8,270.7259,242.0,0.0,20000
306,9,276.93224661233063,246,0.0,19999
306,10,237.3138313831383,230.0,0.0,19998
306,11,238.6974697469747,234.0,0.0,19998
306,12,290.4241212060603,248,0.0,19999
306,13,246.72633631681583,236,0.0,19999
306,14,253.77928896444823,246,0.0,19999
306,15,253.1123112311231,242,0.0,9999
306,16,293.66436643664366,244.0,0.0,19998
306,17,270.7698384919246,230,0.0,19999
306,18,283.00640128025606,250.0,0.0,19996
306,19,265.92429621481074,248,0.0,19999
306,20,251.9964,234.0,0.0,20000
306,21,274.5729145829166,238.0,5.001000200040008e-05,19996
306,22,236.63576357635765,230.0,0.0,19998
306,23,258.27414112116816,242,0.0,19997
306,24,267.75067506750673,240.0,0.0,19998
306,25,265.24602460246024,244.0,0.0,19998
306,26,278.4681702255338,238,0.0,19997
306,27,268.44614461446145,242.0,0.0,19998
306,28,269.23906195309763,238,0.0,19999
306,29,254.884132619893,252,0.0,19997
306,30,,,,0
306,31,271.28449267390107,242,0.0,19997
306,32,270.237,252.0,0.0,20000
308,0,243.46784678467847,236.0,0.0,19998
