training_size,test_ptr,mean,median,hit_rate,n
0,0,5.766456266907124,6.0,0.9999499048191564,19962
0,1,218.96449289857972,202.0,5.001000200040008e-05,19996
0,2,263.6416745861051,260,0.000500175061271445,19993
0,3,271.5819745923777,268.0,0.0,19994
0,4,283.45258944208155,264,0.0,19985
0,5,286.09597197898427,254,0.0,19985
0,6,247.8509478317411,252,0.0,19993
0,7,303.1375256391015,250,5.002751513332333e-05,19989
0,8,260.9207222527885,248,0.0,19993
0,9,272.68037214885953,242.0,0.0,19992
0,10,273.254850970194,248.0,0.0,19996
0,11,285.8619861986199,260.0,0.0,19998
0,12,294.96789357871575,258.0,0.0,19996
0,13,253.9815,248.0,0.0,20000
0,14,276.7679,246.0,0.0,20000
0,15,242.1678083904195,238,5.000250012500625e-05,19999
0,16,249.1075,246.0,0.0,20000
0,17,303.9150957547877,238,0.0,19999
2,0,4.72002002002002,4.0,1.0,19980
2,1,233.52057602880143,230,0.00015000750037501875,19999
2,2,238.15491549154916,230.0,0.0,19998
2,3,243.81638163816382,234.0,0.0,19998
2,4,289.2850285028503,254.0,0.0,19998
2,5,268.46486973045955,236,0.0,19997
2,6,258.2361236123612,246.0,0.0,19998
2,7,294.9884953981593,246.0,0.0,19992
2,8,249.4002700135007,232,0.0,19999
2,9,267.0872718179545,238,0.0,19995
2,10,257.3106,246.0,0.0,20000
2,11,303.94069406940696,240.0,0.0,19998
2,12,342.70173508675435,242,0.0,19999
2,13,331.0412603150788,256,0.0,19995
2,14,312.250050010002,246.0,0.0,19996
2,15,251.55483322498375,244,0.0,19997
2,16,269.6973848692435,242,0.0,19999
2,17,269.93669683484177,248,0.0,19999
4,0,4.81388360212361,4.0,1.0,19966
4,1,243.8145907295365,240,5.000250012500625e-05,19999
4,2,278.5782,252.0,0.0001,20000
4,3,265.4423,246.0,0.0,20000
4,4,247.32503125781446,242,0.00010002500625156288,19995
4,5,267.45444544454443,256.0,0.0,19998
4,6,252.58902945147258,240,0.0,19999
4,7,267.43385846461615,232,0.0,19995
4,8,240.8046402320116,234,5.000250012500625e-05,19999
4,9,252.5996,236.0,0.0,20000
4,10,261.45664566456645,240.0,0.0,19998
4,11,265.86298629862983,252.0,0.0,19998
4,12,301.03580358035805,248.0,0.0,19998
4,13,262.74227422742274,248.0,0.0,19998
4,14,308.67103355167757,244,0.0,19999
