offset,mean,median,hit_rate,n
4121,265.7113113113113,238.0,0.0,9990
4122,264.61099959855477,236.0,0.0,9964
4123,256.86753507014026,242.0,0.0,9980
4124,256.9586627965169,236,0.0,9991
4125,260.1134794356049,244,0.0,9993
4126,249.9225070084101,232.0,0.0,9988
4127,261.3353395526131,240,0.0,9969
4128,265.4848788303625,246.0,0.0,9986
4129,259.3365403888555,236.0,0.0,9978
4130,260.657812657209,232,0.0,9939
4131,254.43567339560107,230,0.0,9957
4132,254.32152152152153,236.0,0.0,9990
4133,254.59895833333334,230.0,0.0,9984
4134,277.58281594231926,254.0,0.0,9986
4135,262.3047485473853,240.0,0.0,9982
4136,274.8486914669608,248,0.0,9973
4137,257.9827741612419,236,0.0,9985
4138,259.940074155727,240,0.0,9979
4139,258.58161425996394,236.0,0.0,9986
4140,265.0767227564103,244.0,0.0,9984
4141,274.9988985681386,254,0.0,9987
4142,251.18722466960352,230.0,0.0,9988
4143,257.6217460953144,240.0,0.0,9988
4144,255.53846153846155,236.0,0.0,9984
4145,257.8220569015784,230,0.0,9947
4146,264.9951884522855,244.0,0.0,9976
4147,269.4293745607871,244,0.0,9961
4148,276.8727819548872,254,0.0,9975
4149,276.868056948065,254.0,0.0,9974
4150,263.3331996792302,236.0,0.0,9976
4151,252.64882742032472,230.0,0.0,9978
4152,277.74511180186505,254,0.0,9973
4153,252.01904761904763,230,0.0,9975
4154,252.52941176470588,230.0,0.0,9962
4155,258.0912006414111,238.0,0.0,9978
4156,249.39437042973054,230,0.0,9983
4157,266.82556858030256,244,0.0,9981
4158,259.713484271689,248.0,0.0,9982
4159,244.13504307753956,230.0,0.0,9982
4160,249.97775551102205,234.0,0.0,9980
4161,240.52437681449595,230,0.0,9989
4162,254.5875626880642,238.0,0.0,9970
4163,260.3628167885405,246,0.0,9983
4164,251.46742834235317,236.0,0.0,9978
4165,262.7302987768197,240.0,0.0,9974
4166,248.6003207055522,234.0,0.0,9978
4167,261.6586196534108,248,0.0,9983
4168,239.5338406087305,226.0,0.0,9988
4169,256.04168754384204,240,0.0,9979
4170,253.7125952667469,236.0,0.0,9972
4171,253.35906948761655,240,0.0,9973
4172,247.00110275689224,228,0.0,9975
4173,262.18616755079574,248,0.0,9991
4174,255.26063883047962,242,0.0,9987
4175,252.453789926905,240,0.0,9987
4176,261.40831246870306,246,0.0,9985
4177,253.92451696866553,236,0.0,9989
4178,259.5801801801802,246.0,0.0,9990
4179,258.7089140679835,246,0.0,9973
4180,259.76576576576576,244.0,0.0,9990
4181,250.20086111945528,230,0.00010013016921998598,9987
4182,258.1785750075158,246,0.0,9979
4183,254.67221331194867,236.0,0.0,9976
4184,245.8420208500401,230.0,0.0,9976
4185,254.20751126690035,236,0.0,9985
4186,251.25801924619086,240.0,0.0,9976
4187,258.8663927032174,246,0.0,9977
4188,262.33053053053055,252.0,0.0,9990
4189,248.10654916883638,238.0,0.0,9986
4190,250.96582823930254,238,0.0,9979
4191,254.03267187813188,236.0,0.0,9978
4192,247.1127578610054,236.0,0.0,9986
4193,241.87979129038732,228.0,0.0,9966
4194,259.65722861430714,246,0.0,9995
4195,255.6073681049154,242,0.0,9989
4196,246.82334068578302,230.0,0.0,9974
4197,246.4664197778,236,0.0,9991
4198,254.32895923069216,240,0.0,9983
4199,244.2965855612296,230,0.0,9987
4200,252.48103552077063,230.0,0.0,9966
4201,261.64683493589746,246.0,0.0,9984
4202,265.6694032839407,254.0,0.0,9988
4203,241.13284613074381,230,0.0,9989
4204,241.7883343355382,228.0,0.0,9978
4205,254.1050945851266,242,0.0,9991
4206,249.78358358358358,240.0,0.0,9990
4207,250.5311685708559,240.0,0.0,9978
4208,250.25010012014417,236.0,0.0,9988
