stride,access_size,test_ptr,mean,median,hit_rate,n
1,0,0,287.8678,266.0,0.0,10000
1,0,1,299.44176264396594,272,0.0,9985
1,0,2,315.9656,274.0,0.0,10000
1,0,3,336.674,272.0,0.0,10000
1,0,4,282.4986498649865,272,0.0,9999
1,0,5,293.0756,272.0,0.0,10000
1,0,6,278.936,266.0,0.0,10000
1,0,7,317.7622,266.0,0.0,10000
1,0,8,285.5458,272.0,0.0,10000
1,0,9,285.2094,266.0,0.0,10000
1,0,10,286.3098,266.0,0.0,10000
1,0,11,286.0768,266.0,0.0,10000
1,0,12,318.2486,266.0,0.0,10000
1,0,13,298.4704,266.0,0.0,10000
1,0,14,279.482,266.0,0.0,10000
1,0,15,286.8932,266.0,0.0,10000
1,0,16,295.9226,266.0,0.0,10000
1,0,17,289.73197319731975,272,0.0,9999
1,0,18,286.7704770477048,272,0.0,9999
1,0,19,349.1191119111911,280,0.0,9999
1,0,20,282.5968,272.0,0.0,10000
1,0,21,291.7388,266.0,0.0,10000
1,0,22,285.7442,272.0,0.0,10000
1,0,23,285.94119411941193,266,0.0,9999
1,0,24,285.4259425942594,266,0.0,9999
1,0,25,287.9077907790779,272,0.0,9999
1,0,26,296.3234646929386,272.0,0.0,9998
1,0,27,289.5272,272.0,0.0,10000
1,0,28,293.00100020004,272.0,0.0,9998
1,0,29,285.8522,272.0,0.0,10000
1,0,30,290.3304,272.0,0.0,10000
1,0,31,298.8142,272.0,0.0,10000
1,0,32,291.8134,272.0,0.0,10000
1,0,33,287.87017403480695,272.0,0.0,9998
1,0,34,289.5546,272.0,0.0,10000
1,0,35,285.4007400740074,266,0.0,9999
1,0,36,303.3552,272.0,0.0,10000
1,0,37,292.9904,272.0,0.0,10000
1,0,38,330.6386,272.0,0.0,10000
1,0,39,288.53205320532055,272,0.0,9999
1,0,40,281.4632,266.0,0.0,10000
1,0,41,289.1217365209563,272,0.0,9997
1,0,42,328.2922292229223,272,0.0,9999
1,0,43,314.7960796079608,280,0.0,9999
1,0,44,276.7026702670267,266,0.0,9999
1,0,45,289.1208,272.0,0.0,10000
1,0,46,284.5740574057406,272,0.0,9999
1,0,47,320.2952295229523,272,0.0,9999
1,0,48,292.3322,272.0,0.0,10000
1,0,49,284.9774,266.0,0.0,10000
1,0,50,292.71,274.0,0.0,10000
1,0,51,282.6582,266.0,0.0,10000
1,0,52,289.5551110222044,274.0,0.0,9998
1,0,53,300.9974,266.0,0.0,10000
1,0,54,294.625,272.0,0.0,10000
1,0,55,291.6023602360236,272,0.0,9999
1,0,56,289.3806,272.0,0.0,10000
1,0,57,278.5866,266.0,0.0,10000
1,0,58,278.9342,266.0,0.0,10000
1,0,59,284.2048,266.0,0.0,10000
1,0,60,294.7016,280.0,0.0,10000
1,0,61,277.2247224722472,266,0.0,9999
1,0,62,295.7403480696139,274.0,0.0,9998
1,0,63,302.679,272.0,0.0,10000
1,0,64,279.4576,266.0,0.0,10000
1,0,65,294.1736,266.0,0.0,10000
1,0,66,335.918,272.0,0.0,10000
1,0,67,283.0917091709171,266,0.0,9999
1,0,68,282.78955791158234,272.0,0.0,9998
1,0,69,305.03900780156033,280.0,0.0,9998
1,0,70,323.005100510051,272,0.0,9999
1,0,71,303.6308,272.0,0.0,10000
1,0,72,283.8855885588559,272,0.0,9999
1,0,73,304.4994,266.0,0.0,10000
1,0,74,275.6999699969997,266,0.0,9999
1,0,75,285.5416,266.0,0.0,10000
1,0,76,286.032,272.0,0.0,10000
1,0,77,297.33073307330733,266,0.0,9999
1,0,78,301.755,266.0,0.0,10000
1,0,79,285.501300260052,266.0,0.0,9998
1,0,80,291.030503050305,272,0.0,9999
1,0,81,282.7738321496449,266,0.0,9997
1,0,82,276.4334,266.0,0.0,10000
1,0,83,298.24322432243224,280,0.0,9999
1,0,84,340.1578,274.0,0.0,10000
1,0,85,276.2356,266.0,0.0,10000
1,0,86,291.0902,272.0,0.0,10000
1,0,87,277.5084,266.0,0.0,10000
1,0,88,281.4186,266.0,0.0,10000
1,0,89,322.9476,272.0,0.0,10000
1,0,90,286.2324,266.0,0.0,10000
1,0,91,292.7908,272.0,0.0,10000
1,0,92,281.62436243624364,266,0.0,9999
1,0,93,312.6196,272.0,0.0,10000
