training_size,flush,mean,median,hit_rate,n
15,0,215.83673469387756,190.0,0.0,9996
16,0,207.68076807680768,180,0.0,9999
17,0,207.4819481948195,180,0.0,9999
18,0,203.40350175087545,178,0.0,9995
19,0,224.18601860186018,202,0.0,9999
20,0,207.93518055416624,178,0.0,9997
21,0,216.9312656328164,194,0.0,9995
22,0,199.25412541254124,178,0.0,9999
23,0,215.27172717271728,188,0.0,9999
24,0,211.17618809404703,190,0.0,9995
15,1,307.04983872645926,236,0.20164394964103632,9611
16,1,273.9562268803946,242.0,0.22102342786683107,9732
17,1,303.50198999897947,276,0.2375752627819165,9799
18,1,254.6542379788101,226.0,0.2523431132844336,9816
19,1,82.32525252525252,4.0,0.7424242424242424,9900
20,1,84.78188968438036,4,0.7569829585560149,9917
21,1,96.67193996552074,4,0.7225433526011561,9861
22,1,87.36427850655903,4.0,0.7301715438950555,9910
23,1,95.05014095851793,4.0,0.6984494563028595,9932
24,1,96.74170303460875,4,0.7088196488379174,9853
